Date,Price,Open,High,Low,Vol.,Change %
02/08/2022,"1,550.46","1,539.49","1,555.01","1,537.16",218.96K,0.60%
02/07/2022,"1,541.25","1,548.38","1,555.01","1,541.25",182.87K,0.59%
01/28/2022,"1,532.24","1,516.40","1,535.57","1,515.85",194.57K,1.03%
01/27/2022,"1,516.57","1,520.82","1,528.81","1,507.26",158.58K,-0.57%
01/26/2022,"1,525.31","1,519.90","1,533.61","1,516.96",236.86K,0.60%
01/25/2022,"1,516.16","1,471.56","1,516.16","1,466.07",191.55K,3.05%
01/24/2022,"1,471.31","1,496.36","1,499.22","1,465.76",243.48K,-2.05%
01/21/2022,"1,502.16","1,497.61","1,508.65","1,492.21",218.98K,0.63%
01/20/2022,"1,492.81","1,479.81","1,499.47","1,474.67",163.72K,0.69%
01/19/2022,"1,482.55","1,479.74","1,491.00","1,475.06",142.26K,0.37%
01/18/2022,"1,477.06","1,473.04","1,489.13","1,464.41",214.02K,-0.10%
01/17/2022,"1,478.61","1,523.17","1,529.28","1,478.61",290.14K,-2.95%
01/14/2022,"1,523.57","1,523.96","1,530.20","1,513.17",135.95K,-0.19%
01/13/2022,"1,526.43","1,533.38","1,548.49","1,524.66",308.82K,-0.24%
01/12/2022,"1,530.04","1,498.63","1,530.04","1,484.93",282.09K,2.02%
01/11/2022,"1,499.74","1,516.74","1,519.84","1,497.78",187.02K,-0.99%
01/10/2022,"1,514.70","1,531.13","1,537.71","1,514.70",200.03K,-1.14%
01/07/2022,"1,532.24","1,548.77","1,550.47","1,532.24",200.63K,-0.82%
01/06/2022,"1,544.95","1,542.34","1,554.97","1,541.19",231.96K,-0.07%
01/05/2022,"1,546.01","1,559.33","1,562.93","1,546.01",222.22K,-0.82%
01/04/2022,"1,558.87","1,536.45","1,562.54","1,536.45",207.49K,1.51%
12/31/2021,"1,535.71","1,523.58","1,537.32","1,523.41",183.41K,1.06%
12/30/2021,"1,519.62","1,515.75","1,526.20","1,515.75",145.70K,0.24%
12/29/2021,"1,515.94","1,525.82","1,528.90","1,515.94",154.78K,-0.50%
